Attribute,Description,Data type,Category
BaselineDoseCombination,Drug dosage prescribed on start of treatment,Categorical,Baseline
BaselineStreptomycin,Injectable TB medicine prescribed,Categorical,Baseline
TreatmentEndDate,Date of end of treatment,Quantitative,Treatment
TreatmentDuration,Total duration of treatment in days,Quantitative,Treatment
TreatmentOutcome,Treatment results,Categorical,Treatment
TreatmentOutcomeDetails,Other details about the treatment end,Categorical,Treatment
AgeGroup,"The age group (child, adult, etc.) that the patient belongs to",Categorical,Demographics
WeightGroup,Weight group the patient falls in. V. low to v. high,Categorical,Demographics
HeightGroup,Height group the patient falls in. V. low to v. high,Categorical,Demographics
RegistrationDelay,Delay in days between initial screening and registration,Quantitative,Screening
RegimenChanged,Was the regimen changed during treatment,Categorical,Treatment
SeverityScore,A score representing severity of disease based on symptoms,Quantitative,Screening
ScreeningToSmearDelay,Delay in days between initial screening and Smear microscopy,Quantitative,Medical tests
ScreeningToXRayDelay,Delay in days between initial screening and chest X-Ray,Quantitative,Medical tests
ScreeningToGXPDelay,Delay in days between initial screening and GeneXpert test,Quantitative,Medical tests
DiagnosisDone,Was the clinical diagnosis done for this patient?,Categorical,Diagnosis
ScreeningToDiagnosisDelay,Delay in days between initial screening and clinical diagnosis,Quantitative,Diagnosis
ScreeningToBaselineDelay,Delay in days between initial screening and baseline treatment,Quantitative,Baseline
SmearToBaselineDelay,Delay in days between smear microscopy and baseline treatment,Quantitative,Baseline
XRayToBaselineDelay,Delay in days between chest X-Ray and baseline treatment,Quantitative,Baseline
GXPToBaselineDelay,Delay in days between GeneXpert test and baseline treatment,Quantitative,Baseline
DiagnosisToBaselineDelay,Delay in days between clinical diagnosis and baseline treatment,Quantitative,Baseline
BaselineWeightGroup,"The age group (child, adult, etc.) that the patient belongs to at treatment start",Categorical,Baseline
ScreeningToBaselineWeightDifference,Difference in weights at screening and baseline treatment in kgs,Quantitative,Baseline
TreatmentComplete,Did the patient complete his treatment?,Categorical,Treatment
